year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,fob_value
2023,Brazil,exported_to,Paraguay,151610,"Animal fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",kg,10000.0,10000.0,18500
2023,Brazil,exported_to,Paraguay,151620,"Vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",kg,670750.0,670078.0,1267878
2023,Brazil,exported_to,Paraguay,151710,Margarine; excluding liquid margarine,kg,1011438.0,1011438.0,1574970
2023,Brazil,exported_to,Paraguay,151790,"Edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, n.e.c. in heading 1517, other than edible fats and oils or their fractions of heading 15.16",kg,828268.0,828268.0,1220877
2023,Brazil,exported_to,Paraguay,151800,"Animal, vegetable or microbial fats, oils and their fractions; boiled, oxidised, dehydrated or otherwise chemically modified, excluding those of heading no. 1516, inedible mixtures or preparations of fats, oils or their fractions, n.e.c. in chapter 15",kg,524198.0,524198.0,827823
2023,Brazil,exported_to,Paraguay,152000,"Glycerol, crude; glycerol waters and glycerol lyes",kg,25657.0,25657.0,24367
2023,Brazil,exported_to,Paraguay,152110,Vegetable waxes (other than triglycerides); whether or not refined or coloured,kg,2605.625,2605.625,16788
2023,Brazil,exported_to,Paraguay,152190,"Waxes, other than vegetable, n.e.c. in heading no. 1521; whether or not refined or coloured",kg,288.0,288.0,3772
2023,Brazil,exported_to,Paraguay,160100,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products",kg,4544661.0,4544661.0,5930919
2023,Brazil,exported_to,Paraguay,160231,"Meat preparations; of turkeys, prepared or preserved meat or meat offal (excluding livers and homogenised preparations)",kg,122709.0,122709.0,490809
2023,Brazil,exported_to,Paraguay,160232,"Meat preparations; of the poultry of heading no. 0105, (i.e. of fowls of the species Gallus domesticus)",kg,650318.0,650318.0,1778718
