year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,cif_value,fob_value
2023,Paraguay,imported_from,Brazil,854099,"Valves and tubes; parts of the valves and tubes of heading no. 8540, excluding parts of cathode-ray tubes",kg,10.66,10.66,422.99,409.46
2023,Paraguay,imported_from,Brazil,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",,0.0,335.272,19039.56,18133.16
2023,Paraguay,imported_from,Brazil,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",,0.0,21.0,205.14,199.64
2023,Paraguay,imported_from,Brazil,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",,0.0,292.629,5797.73,5634.89
2023,Paraguay,imported_from,Brazil,854141,"Electrical apparatus; photosensitive semiconductor devices, light emitting diodes (LED)",,0.0,183.201,4950.76,4548.04
2023,Paraguay,imported_from,Brazil,854142,"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels",,0.0,143.626,2859.28,2769.26
2023,Paraguay,imported_from,Brazil,854143,"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells assembled in modules or made up into panels",units,31.032,874.43,4279.97,4116.81
2023,Paraguay,imported_from,Brazil,854149,"Electrical apparatus; photosensitive semiconductor devices, diodes other than light emitting diodes and photovoltaic cells whether or not assembled in modules or made up into panels",,0.0,84.576,4839.58,4687.27
2023,Paraguay,imported_from,Brazil,854151,"Electrical apparatus; photosensitive semiconductor devices, semiconductor-based transducers",,0.0,0.104,53.91,49.5
2023,Paraguay,imported_from,Brazil,854160,Crystals; mounted piezo-electric,,0.0,2.0,42.89,42.39
2023,Paraguay,imported_from,Brazil,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",kg,266.456,266.456,1552.53,1488.95
2023,Paraguay,imported_from,Brazil,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",,0.0,544.153,22931.71,21792.16
2023,Paraguay,imported_from,Brazil,854232,Electronic integrated circuits; memories,,0.0,34.11,349.52,315.7
2023,Paraguay,imported_from,Brazil,854233,Electronic integrated circuits; amplifiers,units,253.606,10.0,248.98,243.78
2023,Paraguay,imported_from,Brazil,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,,0.0,2098.4,30426.83,28685.98
2023,Paraguay,imported_from,Brazil,854290,Parts of electronic integrated circuits,kg,333.9,333.9,21952.21,21221.66
2023,Paraguay,imported_from,Brazil,854320,Electrical machines and apparatus; signal generators,,0.0,1492.47,115730.18,110163.0
2023,Paraguay,imported_from,Brazil,854330,"Electrical machines and apparatus; for electroplating, electrolysis or electrophoresis",,0.0,2014.33,205019.87,195807.63
2023,Paraguay,imported_from,Brazil,854370,"Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543",,0.0,40808.106,1367523.906,1317859.61
2023,Paraguay,imported_from,Brazil,854390,Electrical machines and apparatus; parts of the electrical goods of heading no. 8543,kg,1203.489,1203.489,85578.09,82184.75
2023,Paraguay,imported_from,Brazil,854411,"Insulated electric conductors; winding wire, of copper",kg,153563.5,153563.5,1640362.55,1599055.39
2023,Paraguay,imported_from,Brazil,854419,"Insulated electric conductors; winding wire, (of other than copper)",kg,49621.2,49621.2,266616.12,256862.94
2023,Paraguay,imported_from,Brazil,854420,Insulated electric conductors; co-axial cable and other co-axial electric conductors,kg,11783.12,11783.12,57567.77,55175.27
2023,Paraguay,imported_from,Brazil,854430,"Insulated electric conductors; ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",kg,20404.142,20404.142,669799.752,642607.62
2023,Paraguay,imported_from,Brazil,854442,"Insulated electric conductors; for a voltage not exceeding 1000 volts, fitted with connectors",kg,39844.274,39844.274,1176033.44,1120733.48
2023,Paraguay,imported_from,Brazil,854449,"Insulated electric conductors; for a voltage not exceeding 1000 volts, not fitted with connectors",kg,8122448.15,8122448.15,70727946.431,69147527.77
2023,Paraguay,imported_from,Brazil,854460,Insulated electric conductors; for a voltage exceeding 1000 volts,kg,2902090.0,2902090.0,19118277.56,18550220.37
2023,Paraguay,imported_from,Brazil,854470,Insulated electric conductors; optical fibre cables,kg,209876.18,209876.18,1822739.27,1739053.57
2023,Paraguay,imported_from,Brazil,854519,"Carbon electrodes; with or without metal, of a kind used for other than furnaces",kg,2284.18,2284.18,17515.69,17232.81
2023,Paraguay,imported_from,Brazil,854520,"Carbon brushes; with or without metal, used for electrical purposes",kg,4868.68,4868.68,144663.45,140661.67
2023,Paraguay,imported_from,Brazil,854590,"Carbon; lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes",kg,592.518,592.518,4392.15,4345.55
2023,Paraguay,imported_from,Brazil,854610,Electrical insulators; of glass,kg,368.79,368.79,19850.75,19230.02
2023,Paraguay,imported_from,Brazil,854620,Electrical insulators; of ceramics,kg,99820.7,99820.7,214428.8,196452.27
2023,Paraguay,imported_from,Brazil,854690,Electrical insulators; other than of glass and ceramics,kg,106118.0,106118.0,761629.48,730855.53
2023,Paraguay,imported_from,Brazil,854710,"Insulating fittings; of ceramics, for electrical machines, of insulating material only (except minor assembly parts), excluding those of heading no. 8546",kg,29068.4,29068.4,63592.88,60287.15
2023,Paraguay,imported_from,Brazil,854720,"Insulating fittings; of plastics, for electrical machines, of insulating material only (except minor assembly parts), excluding those of heading no. 8546",kg,13515.82,13515.82,188156.97,177973.82
2023,Paraguay,imported_from,Brazil,854790,"Insulating fittings; (other than of ceramics or plastics), for electrical machines, appliances and equipment, excluding insulators of heading no. 8546",kg,113276.5,113276.5,785011.7,732935.68
2023,Paraguay,imported_from,Brazil,854800,Electrical parts of machinery or apparatus; not specified or elsewhere included in this chapter,kg,166.89,166.89,4116.23,3909.08
2023,Paraguay,imported_from,Brazil,860730,"Railway or tramway locomotives or rolling stock; parts, hooks and other coupling devices, buffers and parts thereof",kg,122.0,122.0,16874.94,16605.4
2023,Paraguay,imported_from,Brazil,860791,Railway or tramway locomotives; parts n.e.c. in heading no. 8607,kg,2613.0,2613.0,108836.88,104518.5
2023,Paraguay,imported_from,Brazil,860800,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts thereof",kg,17860.19,17860.19,138930.13,132311.82
2023,Paraguay,imported_from,Brazil,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,,0.0,24013.1,79556.59,71932.99
2023,Paraguay,imported_from,Brazil,870110,Tractors; single axle,,0.0,2200.0,78111.0,74904.0
2023,Paraguay,imported_from,Brazil,870121,"Tractors; road tractors for semi-trailers, with only compression-ignition internal combustion piston engine (diesel or semi-diesel)",units,65.655,464374.0,4306565.23,4173389.32
2023,Paraguay,imported_from,Brazil,870129,"Tractors; road tractors for semi-trailers, with other propulsion methods n.e.c. in item no 8701.2",units,0.126,6700.0,8575.16,8329.84
2023,Paraguay,imported_from,Brazil,870191,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power not exceeding 18kW,units,0.478,150.0,3552.61,3505.57
2023,Paraguay,imported_from,Brazil,870192,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 18kW but not exceeding 37kW,units,6.901,6020.0,72459.28,70065.02
2023,Paraguay,imported_from,Brazil,870193,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 37kW but not exceeding 75kW,units,425.684,1429680.0,12278860.44,11861872.72
2023,Paraguay,imported_from,Brazil,870194,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 75kW but not exceeding 130kW,units,581.241,3490150.0,37259750.69,36446379.18
2023,Paraguay,imported_from,Brazil,870195,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 130kW,units,442.639,4922800.0,61518926.98,60334370.33
2023,Paraguay,imported_from,Brazil,870210,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",units,143.113,1179060.0,10329517.29,10161570.97
2023,Paraguay,imported_from,Brazil,870310,"Vehicles; specially designed for travelling on snow, golf cars and similar vehicles",units,20.272,6270.0,107880.86,107202.26
2023,Paraguay,imported_from,Brazil,870321,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity not over 1000cc",units,1774.986,2373238.0,24677932.01,23398706.47
2023,Paraguay,imported_from,Brazil,870322,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity over 1000 but not over 1500cc",units,2290.47,3128875.0,41485780.87,39541146.81
2023,Paraguay,imported_from,Brazil,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",units,1563.908,3537595.0,41683870.0,39666743.4
2023,Paraguay,imported_from,Brazil,870324,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",units,0.166,1740.0,11134.0,9940.0
2023,Paraguay,imported_from,Brazil,870331,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity not over 1500cc",units,0.036,5.43,556.46,67.54
2023,Paraguay,imported_from,Brazil,870332,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",units,79.702,109080.3,2030847.46,1974675.63
