reporter,year,hs_code,applied_tariff,commodity
Paraguay,2021,30353,10.0,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
Paraguay,2021,30354,10.0,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Paraguay,2021,30355,10.0,"Frozen jack and horse mackerel ""Trachurus spp."""
Paraguay,2021,30356,10.0,"Frozen cobia ""Rachycentron canadum"""
Paraguay,2021,30357,10.0,"Frozen swordfish ""Xiphias gladius"""
Paraguay,2021,30359,10.0,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
Paraguay,2021,30363,0.0,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
Paraguay,2021,30364,10.0,"Frozen haddock ""Melanogrammus aeglefinus"""
Paraguay,2021,30365,10.0,"Frozen coalfish ""Pollachius virens"""
Paraguay,2021,30366,10.0,"Frozen hake ""Merluccius spp., Urophycis spp."""
Paraguay,2021,30367,10.0,"Frozen Alaska pollack ""Theragra chalcogramma"""
Paraguay,2021,30368,10.0,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis"""
Paraguay,2021,30369,10.0,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whiting)"
Paraguay,2021,30381,10.0,Frozen dogfish and other sharks
Paraguay,2021,30382,10.0,"Frozen rays and skates ""Rajidae"""
Paraguay,2021,30383,10.0,"Frozen toothfish ""Dissostichus spp."""
Paraguay,2021,30384,10.0,"Frozen sea bass ""Dicentrarchus spp."""
Paraguay,2021,30389,10.0,"Frozen fish, n.e.s."
Paraguay,2021,30391,10.0,"Frozen fish livers, roes and milt"
Paraguay,2021,30392,10.0,Frozen shark fins
Paraguay,2021,30399,10.0,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
Paraguay,2021,30431,10.0,"Fresh or chilled fillets of tilapia ""Oreochromis spp."""
Paraguay,2021,30432,10.0,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Paraguay,2021,30433,10.0,"Fresh or chilled fillets of Nile perch ""Lates niloticus"""
Paraguay,2021,30439,10.0,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."",  eels ""Anguilla spp."" and snakeheads ""Channa spp."""
Paraguay,2021,30441,10.0,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Paraguay,2021,30442,10.0,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Paraguay,2021,30443,10.0,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""
Paraguay,2021,30444,10.0,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
Paraguay,2021,30445,10.0,"Fresh or chilled fillets of swordfish ""Xiphias gladius"""
Paraguay,2021,30446,10.0,"Fresh or chilled fillets of toothfish ""Dissostichus spp."""
Paraguay,2021,30447,10.0,Fresh or chilled fillets of dogfish and other sharks
Paraguay,2021,30448,10.0,"Fresh or chilled fillets of rays and skates ""Rajidae"""
Paraguay,2021,30449,10.0,"Fresh or chilled fillets of fish, n.e.s."
Paraguay,2021,30451,10.0,"Fresh or chilled meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."" (excl. fillets)"
Paraguay,2021,30452,10.0,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)"
Paraguay,2021,30453,10.0,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets)"
Paraguay,2021,30454,10.0,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)"
Paraguay,2021,30455,10.0,"Fresh or chilled meat, whether or not minced, of toothfish ""Dissostichus spp."" (excl. fillets)"
Paraguay,2021,30456,10.0,"Fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets)"
Paraguay,2021,30457,10.0,"Fresh or chilled meat, whether or not minced, of rays and skates ""Rajidae"" (excl. fillets)"
Paraguay,2021,30459,10.0,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish, rays, skates, dogfish and other sharks, and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)"
Paraguay,2021,30461,10.0,"Frozen fillets of tilapia ""Oreochromis spp."""
Paraguay,2021,30462,10.0,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Paraguay,2021,30463,10.0,"Frozen fillets of Nile perch ""Lates niloticus"""
Paraguay,2021,30469,10.0,"Frozen fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."" and snakeheads ""Channa spp."""
Paraguay,2021,30471,10.0,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
Paraguay,2021,30472,10.0,"Frozen fillets of haddock ""Melanogrammus aeglefinus"""
Paraguay,2021,30473,10.0,"Frozen fillets of coalfish ""Pollachius virens"""
Paraguay,2021,30474,10.0,"Frozen fillets of hake ""Merluccius spp., Urophycis spp."""
