reporter,year,hs_code,applied_tariff,commodity
Brazil,2023,30272,8.0,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Brazil,2023,30273,8.0,"Fresh or chilled carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
Brazil,2023,30274,8.0,"Fresh or chilled eels ""Anguilla spp."""
Brazil,2023,30279,8.0,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."""
Brazil,2023,30281,8.0,Fresh or chilled dogfish and other sharks
Brazil,2023,30282,8.0,"Fresh or chilled, rays and skates ""Rajidae"""
Brazil,2023,30283,8.0,"Fresh or chilled toothfish ""Dissostichus spp."""
Brazil,2023,30284,8.0,"Fresh or chilled sea bass ""Dicentrarchus spp."""
Brazil,2023,30285,8.0,"Fresh or chilled sea bream ""Sparidae"""
Brazil,2023,30289,8.0,"Fresh or chilled fish, n.e.s."
Brazil,2023,30291,8.0,"Fresh or chilled fish livers, roes and milt"
Brazil,2023,30292,8.0,Fresh or chilled shark fins
Brazil,2023,30299,8.0,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
Brazil,2023,30311,8.0,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka"""
Brazil,2023,30312,8.0,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")"
Brazil,2023,30313,8.0,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Brazil,2023,30314,8.0,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,2023,30319,8.0,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)"
Brazil,2023,30323,8.0,"Frozen tilapia ""Oreochromis spp."""
Brazil,2023,30324,8.0,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Brazil,2023,30325,8.0,"Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
Brazil,2023,30326,8.0,"Frozen eels ""Anguilla spp."""
Brazil,2023,30329,8.0,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
Brazil,2023,30331,8.0,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
Brazil,2023,30332,8.0,"Frozen plaice ""Pleuronectes platessa"""
Brazil,2023,30333,8.0,"Frozen sole ""Solea spp."""
Brazil,2023,30334,8.0,"Frozen turbot ""Psetta maxima"""
Brazil,2023,30339,8.0,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" (excl. halibut, plaice, sole and turbot)"
Brazil,2023,30341,8.0,"Frozen albacore or longfinned tunas ""Thunnus alalunga"""
Brazil,2023,30342,8.0,"Frozen yellowfin tunas ""Thunnus albacares"""
Brazil,2023,30343,8.0,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"""
Brazil,2023,30344,8.0,"Frozen bigeye tunas ""Thunnus obesus"""
Brazil,2023,30345,8.0,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
Brazil,2023,30346,8.0,"Frozen Southern bluefin tunas ""Thunnus maccoyii"""
Brazil,2023,30349,8.0,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
Brazil,2023,30351,8.0,"Frozen herrings ""Clupea harengus, Clupea pallasii"""
Brazil,2023,30353,8.0,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
Brazil,2023,30354,8.0,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Brazil,2023,30355,8.0,"Frozen jack and horse mackerel ""Trachurus spp."""
Brazil,2023,30356,8.0,"Frozen cobia ""Rachycentron canadum"""
Brazil,2023,30357,8.0,"Frozen swordfish ""Xiphias gladius"""
Brazil,2023,30359,8.0,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
Brazil,2023,30363,0.0,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
